"帳票名","仕訳日記帳"
"書式名","汎用形式"
"事業所名","㈱コムテックエンタープライズ"
"処理日時","2026/09/09","14:05:26"
"検索条件",""
"集計期間","2025/07/01","2026/06/30","決算仕訳を含む"
"当日仕訳","NO"
"[表題行]","日付","伝票No.","決算","調整","付箋1","付箋2","タイプ","生成元","借方勘定科目","借方補助科目","借方部門","借方税区分","借方税計算区分","借方金額","借方税額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方税計算区分","貸方金額","貸方税額","摘要","請求書区分","仕入税額控除","期日","番号","仕訳メモ","作業日付","仕訳番号"
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",290,,"楽天カード","","","対象外","",290,,"GOOGLE GOOGLE ONE","","","",,"","2026/03/19",25291
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25292
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",290,,"楽天カード","","","対象外","",290,,"GOOGLE GOOGLE ONE","","","",,"","2026/03/19",25293
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",260,,"楽天カード","","","対象外","",260,,"楽天ＳＰ　スガキコシステムズアプリ","","","",,"","2026/03/19",25294
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",413,,"楽天カード","","","対象外","",413,,"楽天ＳＰ　ヨシヅヤストアーアプリ","","","",,"","2026/03/19",25295
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",103600,,"楽天カード","","","対象外","",103600,,"ﾌｼﾞﾄﾞﾘ-ﾑｴｱﾗｲﾝｽﾞ　","","","",,"","2026/08/23",28156
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",429,,"楽天カード","","","対象外","",429,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25297
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",3730,,"楽天カード","","","対象外","",3730,,"楽天ＳＰ　楽天ペイ加盟店アプリ","","","",,"","2026/03/19",25298
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",130,,"楽天カード","","","対象外","",130,,"楽天ＳＰ　スガキコシステムズアプリ","","","",,"","2026/03/19",25299
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1560,,"楽天カード","","","対象外","",1560,,"ワークマン","","","",,"","2026/03/19",25300
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/03/19",25301
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1055,,"楽天カード","","","対象外","",1055,,"AMAZON.CO.JP","","","",,"","2026/03/19",25302
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",8980,,"楽天カード","","","対象外","",8980,,"AMAZON.CO.JP","","","",,"","2026/03/19",25303
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1900,,"楽天カード","","","対象外","",1900,,"ｱｲﾎﾟｽﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/03/19",25304
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",479,,"楽天カード","","","対象外","",479,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25305
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",699,,"楽天カード","","","対象外","",699,,"AMAZON.CO.JP","","","",,"","2026/03/19",25306
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1600,,"楽天カード","","","対象外","",1600,,"ﾒｲﾃﾂｷﾖｳｼﾖｳﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/03/19",25307
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","貸付金","","","対象外","",10340,,"楽天カード","","","対象外","",10340,,"ﾅｺﾞﾔｴｷｻｲｶｲﾋﾞﾖｳｲﾝ","","","",,"","2026/03/19",25308
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ　ローソンアプリ","","","",,"","2026/03/19",25309
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",44104,,"楽天カード","","","対象外","",44104,,"ｸﾗｽﾒｿﾂﾄﾞ(ｶ","","","",,"","2026/03/19",25310
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",6149,,"楽天カード","","","対象外","",6149,,"ﾏﾂｸｽﾊﾞﾘﾕｼﾉﾊﾗﾊﾞｼﾋｶ","","","",,"","2026/03/19",25311
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",429,,"楽天カード","","","対象外","",429,,"楽天ＳＰ　ローソンアプリ","","","",,"","2026/03/19",25312
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1900,,"楽天カード","","","対象外","",1900,,"ｱｲﾎﾟｽﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/03/19",25313
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25314
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",850,,"楽天カード","","","対象外","",850,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25315
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",278,,"楽天カード","","","対象外","",278,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25316
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",198,,"楽天カード","","","対象外","",198,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25317
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",3950,,"楽天カード","","","対象外","",3950,,"楽天ＳＰ　エディオン　アプリ","","","",,"","2026/03/19",25318
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",3485,,"楽天カード","","","対象外","",3485,,"ＵＱ　ｍｏｂｉｌｅご利用料金","","","",,"","2026/03/19",25319
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2605,,"楽天カード","","","対象外","",2605,,"ａｕ　ご利用代金　５月ご利用分","","","",,"","2026/03/19",25320
